player,name,stat,plus,minus,net_impact,intercept,pct_impact
Travis Mae,Archer's Mark,era,-0.352,0.169,-0.18299999999999997,6.8133473730075576,-2.69
Sara PavloviÄ‡,Archer's Mark,era,-0.235,0.072,-0.16299999999999998,6.8133473730075576,-2.39
Dale Lantigua,Archer's Mark,era,-0.235,0.213,-0.021999999999999992,6.8133473730075576,-0.32
Milani Kumar,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Neptune Vanterpool,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Sandra Hidalgo,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Midnight Koosman,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Eugene Cerdas,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Yanli Axelsson,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Craig Koyama,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Antonio Slater,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Johnny Osborne,Archer's Mark,era,0.0,0.0,0.0,6.8133473730075576,0.0
Paula Junior,Archer's Mark,era,-0.117,0.124,0.006999999999999992,6.8133473730075576,0.1
Akira Nagashima,Archer's Mark,era,-0.176,0.205,0.028999999999999998,6.8133473730075576,0.43
Noam Coleman,Archer's Mark,era,-0.176,0.232,0.05600000000000002,6.8133473730075576,0.82
Stacey Mayer,Archer's Mark,era,-0.176,0.232,0.05600000000000002,6.8133473730075576,0.82
Juan McGuire,Archer's Mark,era,-0.117,0.285,0.16799999999999998,6.8133473730075576,2.47
Mia D'Angelo,Archer's Mark,era,-0.117,0.321,0.20400000000000001,6.8133473730075576,2.99
